user_id,timestamp,condition,num_clicks,time_taken_in_ms,click_x,click_y,target_width,num_shapes,screen_width,screen_height,helper_enabled
1,2021-05-10 19:24:46.127606,Circle,1,570,1136,311,40,199,1280,720,True
1,2021-05-10 19:24:46.906867,Circle,1,771,1012,397,40,208,1280,720,True
1,2021-05-10 19:24:47.702941,Circle,1,788,589,214,40,205,1280,720,True
1,2021-05-10 19:24:48.429501,Circle,1,719,199,454,40,207,1280,720,True
1,2021-05-10 19:24:49.175932,Circle,1,624,427,481,40,205,1280,720,True
1,2021-05-10 19:24:50.019048,Circle,1,661,920,244,40,201,1280,720,True
1,2021-05-10 19:24:50.799358,Circle,1,631,796,281,40,200,1280,720,True
1,2021-05-10 19:24:51.692328,Circle,1,798,1078,451,40,206,1280,720,True
1,2021-05-10 19:24:52.611216,Circle,1,911,1225,388,40,202,1280,720,True
1,2021-05-10 19:24:53.521037,Circle,1,833,1155,687,40,205,1280,720,True
1,2021-05-10 19:24:54.558865,Square,1,1031,430,545,40,203,1280,720,True
1,2021-05-10 19:24:55.482069,Square,1,862,1070,269,40,209,1280,720,True
1,2021-05-10 19:24:56.330542,Square,1,737,888,302,40,208,1280,720,True
1,2021-05-10 19:24:57.310077,Square,1,896,398,534,40,203,1280,720,True
1,2021-05-10 19:24:58.182055,Square,1,761,715,652,40,202,1280,720,True
1,2021-05-10 19:24:58.931346,Square,1,577,839,85,40,205,1280,720,True
1,2021-05-10 19:24:59.612507,Square,1,675,503,541,40,206,1280,720,True
1,2021-05-10 19:25:00.675395,Square,1,974,1099,94,40,202,1280,720,True
1,2021-05-10 19:25:01.610498,Square,1,801,118,108,40,206,1280,720,True
1,2021-05-10 19:25:02.454995,Square,1,838,318,625,40,204,1280,720,True
1,2021-05-10 19:23:49.332693,Circle,1,1922,115,532,40,206,1280,720,False
1,2021-05-10 19:23:50.677877,Circle,1,1221,373,161,40,204,1280,720,False
1,2021-05-10 19:23:52.115674,Circle,1,1182,986,97,40,203,1280,720,False
1,2021-05-10 19:23:53.546915,Circle,1,1217,820,536,40,196,1280,720,False
1,2021-05-10 19:23:55.065831,Circle,1,1113,625,108,40,208,1280,720,False
1,2021-05-10 19:23:56.574288,Circle,1,1502,698,579,40,204,1280,720,False
